Part,Value,Device,Package,Description,DESCRIPTION,HEIGHT,WE-NUMBER,Amount,
+12V,,LEDSMT1206,1206,LED,GREEN,,,1,
-12V,,LEDSMT1206,1206,LED,RED,,,1,
Jetson,,LEDSMT1206,1206,LED,GREEN,,,1,
C1,100nF,CAPACITOR_0805_L,RESC0805_L,Generic chip capacitor,,,,29,https://dk.rs-online.com/web/p/products/6480941/
C2,2.2µF,C-EUC1210,C1210,"CAPACITOR, European symbol",,,,3,https://dk.rs-online.com/web/p/keramiske-flerlags-kondensatorer-mlcc/6911246/
C9,10µF,C-EUC1210,C1210,"CAPACITOR, European symbol",,,,1,https://dk.rs-online.com/web/p/keramiske-flerlags-kondensatorer-mlcc/8410815/
C17,220µF,CPOL-EUE,PANASONIC_E,"POLARIZED CAPACITOR, European symbol",,,,2,https://dk.rs-online.com/web/p/keramiske-flerlags-kondensatorer-mlcc/6480749/
CAN_IC,MCP2562,MCP2562,SOIC127P600X175-8,,,,,,https://dk.rs-online.com/web/p/can-transceivere/1771916/
D1,SML4740-E3/61,ZENERSMA,DO214AC,,,,,2,https://dk.rs-online.com/web/p/products/6347030/
IC1,TOS_06-12SIL,TOS_06-12SIL,TOS-06-12SIL-6A,"Non-Isolated DC-DC Converter 12V dc Input, 0.75 ??5V dc Output, 6A%0%0",,,,,https://dk.rs-online.com/web/p/products/7066432/
J1,,M04PTH,1X04,Header 4,Non-Isolated DC-DC Converter 12V dc Input, 0.75 ??5V dc Output,,2,
,,,,,,,,,
SV1,Programmer,PINHD-1X3,1X03,header 3,,,,2,
,,,,,,,,,
L1,744222,WE-SL2_744222,WE-SL2,SMD Common-Mode Line Filter WE-SL2,,,744222/1000uH,1,https://dk.rs-online.com/web/p/common-mode-drosselspoler/1241875/
L3,22µH,WE-PD_7345_PLASTIC_7447779122,WE-PD_7332/7345_PLASTIC_BASE,SMD Shielded Power Inductor,,,7447779122/22uH,1,https://dk.rs-online.com/web/p/tradviklede-spoler-til-overflademontering/7896962/
MPU-9250,,M03PTH,,IMU,,,,,https://www.sparkfun.com/products/13762
NANO,,HEADER_POS2_43045-0200,43045-0200,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 2 positions.""",,,1,https://dk.rs-online.com/web/p/products/2332933/
POWER,,HEADER_POS4_43045-0401,43045-0400,"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118) pitch header"," 4 positions.""",,,8,https://dk.rs-online.com/web/p/products/2332955/
Q3,DMP6023LE,BSP170P,SOT223,"SIPMOS(R) Small-Signal-Transistor P-Channel, Enhancement mode",,,,,https://dk.rs-online.com/web/p/transistorer-mosfet/9211158/
R1,1.5k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,1,
R2,120,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,1,
R3,10k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,4,
R9,4.7k,RESISTOR0805-RES,805,Resistor,,,,5,
R11,9.1k,RESISTOR0805-RES,805,Resistor,,,,5,
,,,,,,,,,
,,,,,,,,,
U$1,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,,,,,,
U$2,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,SMF_OMNI-BLOK_FUSE_BLOCK,,,,,,
U$3,TEENSY4.0_OUTER_VUSBOUTER_ROW_VUSB,TEENSY4.0_OUTER_VUSBOUTER_ROW_VUSB,TEENSY_4.0_OUTER_VUSB,,,,,1,
UNUSEDPINS,,CONN_06LOCK,1X06_LOCK,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,
